SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GEN,INC,Hand,1407
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,ST,YSRCP,Ceiling Fan,224089
3,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GEN,GEN,TDP,Bicycle,6653
4,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GEN,GEN,YSRCP,Ceiling Fan,48036
5,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GEN,GEN,YSRCP,Ceiling Fan,4414
6,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GEN,GEN,YSRCP,Ceiling Fan,89192
7,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GEN,YSRCP,Ceiling Fan,25738
8,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,YSRCP,Ceiling Fan,39795
9,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GEN,YSRCP,Ceiling Fan,121634
10,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GEN,YSRCP,Ceiling Fan,32676
11,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GEN,YSRCP,Ceiling Fan,165925
12,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GEN,YSRCP,Ceiling Fan,60238
13,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GEN,TDP,Bicycle,8726
14,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GEN,TDP,Bicycle,4205
15,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GEN,YSRCP,Ceiling Fan,154002
16,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,YSRCP,Ceiling Fan,16065
17,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GEN,YSRCP,Ceiling Fan,214851
18,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GEN,YSRCP,Ceiling Fan,250119
19,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GEN,YSRCP,Ceiling Fan,149067
20,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GEN,YSRCP,Ceiling Fan,141428
21,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GEN,YSRCP,Ceiling Fan,140748
22,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GEN,YSRCP,Ceiling Fan,380726
23,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GEN,GEN,YSRCP,Ceiling Fan,148571
24,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,SC,YSRCP,Ceiling Fan,228376
25,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GEN,GEN,YSRCP,Ceiling Fan,268284
26,Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,SC,YSRCP,Ceiling Fan,137271
27,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,GEN,GEN,BJP,Lotus,174843
28,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,GEN,GEN,BJP,Lotus,69948
29,Assam,Kokrajhar,Naba Kumar Sarania,ST,ST,IND,Battery Torch,37786
30,Assam,Barpeta,Abdul Khaleque,GEN,GEN,INC,Hand,140307
31,Assam,Gauhati,QUEEN OJA,GEN,GEN,BJP,Lotus,345606
32,Assam,Mangaldoi,DILIP SAIKIA,GEN,GEN,BJP,Lotus,138545
33,Assam,Tezpur,PALLAB LOCHAN DAS,GEN,GEN,BJP,Lotus,242841
34,Assam,Nowgong,Pradyut Bordoloi,GEN,GEN,INC,Hand,16752
35,Assam,Kaliabor,Gaurav Gogoi,GEN,GEN,INC,Hand,209994
36,Assam,Jorhat,TOPON KUMAR GOGOI,GEN,GEN,BJP,Lotus,82653
37,Assam,Dibrugarh,RAMESWAR TELI,GEN,GEN,BJP,Lotus,364566
38,Assam,Lakhimpur,PRADAN BARUAH,GEN,GEN,BJP,Lotus,350551
39,Assam,Karimganj ,KRIPANATH MALLAH,SC,SC,BJP,Lotus,38389
40,Assam,Silchar,RAJDEEP ROY,GEN,GEN,BJP,Lotus,81596
41,Assam,Autonomous District,HOREN SING BEY,ST,ST,BJP,Lotus,239626
42,Assam,Dhubri,BADRUDDIN AJMAL,GEN,GEN,AIUDF,Lock and Key,226258
43,Bihar,Samastipur (SC),Ramchandra Paswan,SC,SC,LJP,Bungalow,251643
44,Bihar,Begusarai,Giriraj Singh,GEN,GEN,BJP,Lotus,422217
45,Bihar,Khagaria,Choudhary Mehboob Ali Kaiser,GEN,GEN,LJP,Bungalow,248570
46,Bihar,Bhagalpur,AJAY KUMAR MANDAL,GEN,GEN,JD(U),Arrow,277630
47,Bihar,Banka,GIRIDHARI YADAV,GEN,GEN,JD(U),Arrow,200532
48,Bihar,Munger,RAJIV RANJAN SINGH ALIAS LALAN SINGH,GEN,GEN,JD(U),Arrow,167937
49,Bihar,Nalanda,Kaushlendra Kumar,GEN,GEN,JD(U),Arrow,256137
50,Bihar,Patna Sahib,RAVI SHANKAR PRASAD,GEN,GEN,BJP,Lotus,284657
51,Bihar,Pataliputra,RAM KRIPAL YADAV,GEN,GEN,BJP,Lotus,39321
52,Bihar,Arrah,R. K. Singh,GEN,GEN,BJP,Lotus,147285
53,Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,GEN,GEN,JD(U),Arrow,354616
54,Bihar,Buxar,Ashwini Kumar Choubey,GEN,GEN,BJP,Lotus,117609
55,Bihar,Paschim Champaran,DR. SANJAY JAISWAL,GEN,GEN,BJP,Lotus,293906
56,Bihar,Sasaram (SC),CHHEDI PASWAN,SC,SC,BJP,Lotus,165745
57,Bihar,Purvi Champaran,RADHA MOHAN SINGH,GEN,GEN,BJP,Lotus,293648
58,Bihar,Karakat,MAHABALI SINGH,GEN,GEN,JD(U),Arrow,84542
59,Bihar,Jahanabad,CHANDESHWAR PRASAD,GEN,GEN,JD(U),Arrow,1751
60,Bihar,Sheohar,RAMA DEVI,GEN,GEN,BJP,Lotus,340360
61,Bihar,Aurangabad,SUSHIL KUMAR SINGH,GEN,GEN,BJP,Lotus,70552
62,Bihar,Sitamarhi,Sunil Kumar Pintu,GEN,GEN,JD(U),Arrow,250539
63,Bihar,Madhubani,ASHOK KUMAR YADAV,GEN,GEN,BJP,Lotus,454940
64,Bihar,Gaya (SC),Vijay Kumar,SC,SC,JD(U),Arrow,152426
65,Bihar,Jhanjharpur,Ramprit Mandal,GEN,GEN,JD(U),Arrow,322951
66,Bihar,Nawada,Chandan Singh,GEN,GEN,LJP,Bungalow,148072
67,Bihar,Supaul,Dileshwar Kamait,GEN,GEN,JD(U),Arrow,266853
68,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,SC,SC,LJP,Bungalow,241049
69,Bihar,Araria,PRADEEP KUMAR SINGH,GEN,GEN,BJP,Lotus,137241
70,Bihar,Kishanganj,Dr. Mohammad Jawed,GEN,GEN,INC,Hand,34466
71,Bihar,Katihar,DULAL CHANDRA GOSWAMI,GEN,GEN,JD(U),Arrow,57203
72,Bihar,Purnia,SANTOSH KUMAR,GEN,GEN,JD(U),Arrow,263461
73,Bihar,Madhepura,Dinesh Chandra Yadav,GEN,GEN,JD(U),Arrow,301527
74,Bihar,Darbhanga,Gopal Jee Thakur,GEN,GEN,BJP,Lotus,267979
75,Bihar,Muzaffarpur,Ajay Nishad,GEN,GEN,BJP,Lotus,409988
76,Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),GEN,GEN,LJP,Bungalow,234584
77,Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,SC,SC,JD(U),Arrow,286434
78,Bihar,Siwan,Kavita Singh,GEN,GEN,JD(U),Arrow,116958
79,Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",GEN,GEN,BJP,Lotus,230772
80,Bihar,Saran,Rajiv Pratap Rudy,GEN,GEN,BJP,Lotus,138411
81,Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,SC,SC,LJP,Bungalow,205449
82,Bihar,Ujiarpur,Nityanand Rai,GEN,GEN,BJP,Lotus,277278
83,Chandigarh,CHANDIGARH,KIRRON KHER,GEN,GEN,BJP,Lotus,46970
84,Chhattisgarh,SARGUJA,Renuka Singh Saruta,ST,ST,BJP,Lotus,157873
85,Chhattisgarh,RAIGARH,GOMATI SAI,ST,ST,BJP,Lotus,66027
86,Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,SC,SC,BJP,Lotus,83255
87,Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,GEN,GEN,INC,Hand,26249
88,Chhattisgarh,BILASPUR,ARUN SAO,GEN,GEN,BJP,Lotus,141763
89,Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,GEN,GEN,BJP,Lotus,111966
90,Chhattisgarh,DURG,VIJAY BAGHEL,GEN,GEN,BJP,Lotus,391978
91,Chhattisgarh,RAIPUR,Sunil Kumar Soni,GEN,GEN,BJP,Lotus,348238
92,Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,GEN,GEN,BJP,Lotus,90511
93,Chhattisgarh,BASTAR,DEEPAK BAIJ,ST,ST,INC,Hand,38982
94,Chhattisgarh,KANKER,MOHAN MANDAVI,ST,ST,BJP,Lotus,6914
95,Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,ST,ST,IND,Batsman,9001
96,Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,GEN,GEN,BJP,Lotus,9942
97,Goa,North Goa,SHRIPAD YESSO NAIK,GEN,GEN,BJP,Lotus,80247
98,Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,GEN,GEN,INC,Hand,9755
99,Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,GEN,GEN,BJP,Lotus,150211
100,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,GEN,GEN,BJP,Lotus,201431
101,Gujarat,Bhavnagar,DR.BHARATIBEN DHIRUBHAI SHIYAL,GEN,GEN,BJP,Lotus,329519
102,Gujarat,Anand,PATEL MITESH RAMESHBHAI (BAKABHAI),GEN,GEN,BJP,Lotus,197718
103,Gujarat,Kheda,Chauhan Devusinh,GEN,GEN,BJP,Lotus,367145
104,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,GEN,GEN,BJP,Lotus,428541
105,Gujarat,Dahod,JASHVANTSINH SUMANBHAI BHABHOR,ST,ST,BJP,Lotus,127596
106,Gujarat,Vadodara,RANJANBEN BHATT,GEN,GEN,BJP,Lotus,589177
107,Gujarat,Chhota Udaipur,RATHVA GITABEN VAJESINGBHAI,ST,ST,BJP,Lotus,377943
108,Gujarat,Bharuch,Mansukhbhai Dhanjibhai Vasava,GEN,GEN,BJP,Lotus,334214
109,Gujarat,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,ST,ST,BJP,Lotus,215447
110,Gujarat,Surat,Darshana Vikram Jardosh,GEN,GEN,BJP,Lotus,548230
111,Gujarat,Navsari,C. R. Patil,GEN,GEN,BJP,Lotus,689668
112,Gujarat,Valsad,Dr.K.C.PATEL,ST,ST,BJP,Lotus,353797
113,Gujarat,Kachchh,CHAVDA VINOD LAKHAMSHI,SC,SC,BJP,Lotus,305513
114,Gujarat,Banaskantha,PARBATBHAI SAVABHAI PATEL,GEN,GEN,BJP,Lotus,368296
115,Gujarat,Patan,DABHI BHARATSINHJI SHANKARJI,GEN,GEN,BJP,Lotus,193879
116,Gujarat,Mahesana,SHARDABEN ANILBHAI PATEL,GEN,GEN,BJP,Lotus,281519
117,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,GEN,GEN,BJP,Lotus,268986
118,Gujarat,Gandhinagar,AMIT SHAH,GEN,GEN,BJP,Lotus,557014
119,Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,GEN,GEN,BJP,Lotus,434330
120,Gujarat,Ahmedabad West,DR. KIRIT P. SOLANKI,SC,SC,BJP,Lotus,321546
121,Gujarat,Surendranagar,Dr. MUNJAPARA MAHENDRABHAI,GEN,GEN,BJP,Lotus,277437
122,Gujarat,Rajkot,KUNDARIA MOHANBHAI KALYANJIBHAI,GEN,GEN,BJP,Lotus,368407
123,Gujarat,Porbandar,RAMESHBHAI LAVJIBHAI DHADUK,GEN,GEN,BJP,Lotus,229823
124,Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,GEN,GEN,BJP,Lotus,236804
125,Haryana,Ambala,RATTAN LAL KATARIA,SC,SC,BJP,Lotus,342345
126,Haryana,Kurukshetra,NAYAB SINGH,GEN,GEN,BJP,Lotus,384591
127,Haryana,Sirsa,Sunita Duggal,SC,SC,BJP,Lotus,309918
128,Haryana,Hisar,BRIJENDRA SINGH,GEN,GEN,BJP,Lotus,314068
129,Haryana,Karnal,Sanjay Bhatia,GEN,GEN,BJP,Lotus,656142
130,Haryana,Sonipat,RAMESH CHANDER KAUSHIK,GEN,GEN,BJP,Lotus,164864
131,Haryana,Rohtak,ARVIND KUMAR SHARMA,GEN,GEN,BJP,Lotus,7503
132,Haryana,Bhiwani-Mahendragarh,Dharambir Singh S/o Bhale Ram,GEN,GEN,BJP,Lotus,444463
133,Haryana,Gurgaon,RAO INDERJIT SINGH,GEN,GEN,BJP,Lotus,386256
134,Haryana,Faridabad,KRISHAN PAL,GEN,GEN,BJP,Lotus,638239
135,Himachal Pradesh,Kangra,Kishan Kapoor,GEN,GEN,BJP,Lotus,477623
136,Himachal Pradesh,Mandi,RAM SWAROOP SHARMA,GEN,GEN,BJP,Lotus,405459
137,Himachal Pradesh,Hamirpur,ANURAG SINGH THAKUR,GEN,GEN,BJP,Lotus,399572
138,Himachal Pradesh,Shimla,SURESH KUMAR KASHYAP,SC,SC,BJP,Lotus,327514
139,Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,GEN,GEN,BJP,Lotus,357252
140,Jammu & Kashmir,Jammu,Jugal Kishore,GEN,GEN,BJP,Lotus,302875
141,Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,GEN,GEN,JKN,Plough,30233
142,Jammu & Kashmir,Srinagar,Farooq Abdullah,GEN,GEN,JKN,Plough,70050
143,Jammu & Kashmir,Anantnag,HASNAIN MASOODI,GEN,GEN,JKN,Plough,6676
144,Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,GEN,GEN,BJP,Lotus,10930
145,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,ST,ST,JMM,Bow & Arrow,99195
146,Jharkhand,Dumka,SUNIL SOREN,ST,ST,BJP,Lotus,47590
147,Jharkhand,Godda,Nishikant Dubey,GEN,GEN,BJP,Lotus,184227
148,Jharkhand,Chatra,SUNIL KUMAR SINGH,GEN,GEN,BJP,Lotus,377871
149,Jharkhand,Kodarma,ANNPURNA DEVI,GEN,GEN,BJP,Lotus,455600
150,Jharkhand,Giridih,Chandra Prakash Choudhary,GEN,GEN,AJSUP,Banana,248347
151,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,GEN,GEN,BJP,Lotus,486194
152,Jharkhand,Ranchi,SANJAY SETH,GEN,GEN,BJP,Lotus,282780
153,Jharkhand,Jamshedpur,Bidyut Baran Mahato,GEN,GEN,BJP,Lotus,302090
154,Jharkhand,Singhbhum,GEETA KORA,ST,ST,INC,Hand,72155
155,Jharkhand,Khunti,ARJUN MUNDA,ST,ST,BJP,Lotus,1445
156,Jharkhand,Lohardaga,SUDARSHAN BHAGAT,ST,ST,BJP,Lotus,10363
157,Jharkhand,Palamau,VISHNU DAYAL RAM,SC,SC,BJP,Lotus,477606
158,Jharkhand,Hazaribagh,JAYANT SINHA,GEN,GEN,BJP,Lotus,479548
159,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,GEN,GEN,BJP,Lotus,118877
160,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,GEN,GEN,BJP,Lotus,391304
161,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,GEN,GEN,BJP,Lotus,168187
162,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,SC,SC,BJP,Lotus,258038
163,Karnataka,Gulbarga,DR. UMESH G JADHAV,SC,SC,BJP,Lotus,95452
164,Karnataka,Raichur,RAJA AMARESHWARA NAIK,ST,ST,BJP,Lotus,117716
165,Karnataka,Bidar,BHAGWANTH KHUBA,GEN,GEN,BJP,Lotus,116834
166,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,GEN,GEN,BJP,Lotus,38397
167,Karnataka,Bellary,Y. DEVENDRAPPA,ST,ST,BJP,Lotus,55707
168,Karnataka,Haveri,UDASI. S.C.,GEN,GEN,BJP,Lotus,140882
169,Karnataka,Dharwad,Pralhad Joshi,GEN,GEN,BJP,Lotus,205072
170,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,GEN,GEN,BJP,Lotus,479649
171,Karnataka,Davanagere,G M SIDDESHWAR,GEN,GEN,BJP,Lotus,169702
172,Karnataka,Shimoga,B.Y.RAGHAVENDRA.,GEN,GEN,BJP,Lotus,223360
173,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,GEN,GEN,BJP,Lotus,349599
174,Karnataka,Hassan,PRAJWAL REVANNA,GEN,GEN,JD(S),A lady farmer carrying paddy on her head,141324
175,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,GEN,GEN,BJP,Lotus,274621
176,Karnataka,Chitradurga,A NARAYANASWAMY,SC,SC,BJP,Lotus,80178
177,Karnataka,Tumkur,G. S. BASAVARAJ,GEN,GEN,BJP,Lotus,13339
