date,value
03/12/2015,370.27
04/12/2015,363.52
05/12/2015,389.79
06/12/2015,402.81
07/12/2015,399.97
08/12/2015,415.56
09/12/2015,423.12
10/12/2015,419.51
11/12/2015,451.94
12/12/2015,469.1
13/12/2015,441.68
14/12/2015,447.14
15/12/2015,465.32
16/12/2015,465.21
17/12/2015,457.86
18/12/2015,465.18
19/12/2015,465.58
20/12/2015,462.64
21/12/2015,444.73
22/12/2015,443.69
23/12/2015,444.53
24/12/2015,458.46
25/12/2015,458.31
26/12/2015,457.49
27/12/2015,424.01
28/12/2015,429.77
29/12/2015,432.98
30/12/2015,434.39
31/12/2015,432.92
01/01/2016,436.25
02/01/2016,436.06
03/01/2016,433.74
04/01/2016,434.52
05/01/2016,434.18
06/01/2016,431.86
07/01/2016,458.77
08/01/2016,462.93
09/01/2016,454.64
10/01/2016,448.31
11/01/2016,450.66
12/01/2016,448.18
13/01/2016,435.19
14/01/2016,433.32
15/01/2016,430.25
16/01/2016,390.56
17/01/2016,390.96
18/01/2016,388.1
19/01/2016,387.73
20/01/2016,425.27
21/01/2016,422.88
22/01/2016,410.41
23/01/2016,394.54
24/01/2016,405.49
25/01/2016,402.32
26/01/2016,397.77
27/01/2016,396.84
28/01/2016,395.5
29/01/2016,384.38
30/01/2016,380.92
31/01/2016,380.35
01/02/2016,378.07
02/02/2016,375.88
03/02/2016,374.95
04/02/2016,391.61
05/02/2016,391.09
06/02/2016,386.63
07/02/2016,380.87
08/02/2016,379.88
09/02/2016,377.25
10/02/2016,385.48
11/02/2016,383.13
12/02/2016,384.95
13/02/2016,391.86
14/02/2016,407.23
15/02/2016,410.38
16/02/2016,408.94
17/02/2016,421.17
18/02/2016,426
19/02/2016,423.1
20/02/2016,441.98
21/02/2016,448.05
22/02/2016,439.05
23/02/2016,439.86
24/02/2016,425.55
25/02/2016,427.72
26/02/2016,432.15
27/02/2016,434.23
28/02/2016,435.68
29/02/2016,441.51
01/03/2016,439.65
02/03/2016,435.92
03/03/2016,425.37
04/03/2016,425.18
05/03/2016,411.26
06/03/2016,411.91
07/03/2016,415.92
08/03/2016,416.24
09/03/2016,416.03
10/03/2016,417.51
11/03/2016,423.93
12/03/2016,421.8
13/03/2016,416.6
14/03/2016,416.68
15/03/2016,418.13
16/03/2016,417.69
17/03/2016,421
18/03/2016,420.55
19/03/2016,410.98
20/03/2016,414.63
21/03/2016,413.42
22/03/2016,418.38
23/03/2016,419.27
24/03/2016,418.68
25/03/2016,418.08
26/03/2016,418.99
